Symbol,Date,Open,High,Low,Close,PrevClose,Change,PctChange,Volume,AvgVol20,RVOL,VWAP,VWAP_Pos,VWAP_Band,VWAP_Dist%,EMA9,EMA20,EMA50,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Cross,BB_Width%,BB_Pos,ATR,ADX,ADX_Trend,ADX_Dir,Supertrend,Breakout,Gap%,Gap_Type,Score,Label,ATR_Stop_L,ATR_Target_L,Vol_Spike
SAIL,01-09-2026,196.0,200.8,190.25,193.0,195.0,-2.0,-1.03,27611389,25455704,1.08,182.64,Above,Above +1σ,5.67,188.84,181.93,176.69,64.85,6.55,4.3,2.2492,,21.62,Inside,6.87,22.07,Weak Trend,Bull,Bull,,0.51,Gap Up,60,Bull,182.69,206.75,
TATASTEEL,01-09-2026,183.7,188.68,182.12,184.07,184.35,-0.28,-0.15,46661833,26498623,1.76,186.32,Below,Inside,-1.21,185.52,186.1,188.24,43.25,-0.78,-0.8,0.0186,,5.29,Inside,4.12,12.93,No Trend,Bear,Bear,,-0.35,No Gap,60,Bull,177.89,192.3,Spike
UPL,01-09-2026,567.65,568.7,560.9,567.1,562.25,4.85,0.86,4060247,1977700,2.05,571.81,Below,Inside,-0.82,571.79,575.73,585.64,43.61,-5.43,-6.01,0.5789,,4.87,Inside,11.25,13.31,No Trend,Bear,Bear,,0.96,Gap Up,57,Neutral,550.23,589.6,Spike
ADANIPORTS,01-09-2026,1625.0,1655.6,1625.0,1647.5,1593.1,54.4,3.41,3770067,2288523,1.65,1673.25,Below,Inside,-1.54,1670.86,1689.47,1731.95,41.55,-23.45,-22.89,-0.5573,Bear,6.29,Inside,38.14,26.69,Strong Trend,Bear,Bear,,2.0,Gap Up,55,Neutral,1590.3,1723.77,Spike
AXISBANK,01-09-2026,1274.9,1275.1,1255.0,1258.0,1300.0,-42.0,-3.23,5587984,4749975,1.18,1243.5,Above,Inside,1.17,1258.63,1253.5,1269.43,50.54,-0.08,-7.03,6.9453,,5.77,Inside,23.71,18.49,No Trend,Bull,Bear,,-1.93,Gap Down,55,Neutral,1222.43,1305.43,
BPCL,01-09-2026,317.35,319.7,313.0,317.65,324.05,-6.4,-1.98,6047271,4998070,1.21,316.39,Above,Inside,0.4,317.71,316.69,312.84,51.98,1.14,0.76,0.378,,6.27,Inside,7.37,13.23,No Trend,Bear,Bull,,-2.07,Gap Down,55,Neutral,306.59,332.4,
CHOLAFIN,01-09-2026,1851.1,1851.5,1794.1,1814.7,1857.4,-42.7,-2.3,1873408,1057381,1.77,1881.82,Below,Below -1σ,-3.57,1857.7,1859.04,1804.34,43.7,9.22,20.62,-11.3941,,6.27,Below,45.84,17.1,No Trend,Bear,Bull,,-0.34,No Gap,55,Neutral,1745.94,1906.38,Spike
DLF,01-09-2026,672.6,676.0,665.95,675.15,691.05,-15.9,-2.3,3403168,3029227,1.12,666.52,Above,Inside,1.3,677.96,671.46,653.62,53.54,8.02,7.73,0.2933,,8.27,Inside,16.86,15.7,No Trend,Bull,Bull,,-2.67,Gap Down,55,Neutral,649.86,708.87,
FORCEMOT,01-09-2026,17580.0,18069.0,17462.0,17722.0,17526.0,196.0,1.12,149177,74410,2.0,18241.37,Below,Inside,-2.85,17648.64,17836.28,17929.64,46.93,-169.73,-102.66,-67.0727,,11.64,Inside,478.56,14.91,No Trend,Bull,Bear,,0.31,No Gap,55,Neutral,17004.16,18679.12,Spike
INDIGO,01-09-2026,5065.0,5106.5,5010.0,5052.0,5234.0,-182.0,-3.48,788397,484458,1.63,5230.21,Below,Below -1σ,-3.41,5176.04,5207.44,5155.91,40.5,-20.55,-2.6,-17.9562,,6.98,Below,116.87,16.28,No Trend,Bear,Bear,,-3.23,Gap Down,55,Neutral,4876.69,5285.75,Spike
