Symbol,Open,High,Low,Close,LTP,Change,PctChange,Volume
UNITDSPR,1490.1,1498.9,1459.0,1490.0,1470.0,-20.0,-1.34,392270
LICI,418.85,418.9,409.95,418.0,412.15,-5.85,-1.4,3609510
AMBER,7640.0,7644.5,7490.0,7620.0,7508.0,-112.0,-1.47,100768
VEDL,280.0,281.95,272.75,278.2,274.0,-4.2,-1.51,6769011
WIPRO,181.0,182.1,178.5,184.5,181.7,-2.8,-1.52,6813425
LT,4038.0,4038.0,3980.1,4044.9,3980.1,-64.8,-1.6,944703
APOLLOHOSP,8854.5,8867.5,8704.5,8898.5,8755.0,-143.5,-1.61,153262
LUPIN,2190.2,2190.2,2137.6,2188.4,2153.0,-35.4,-1.62,1298356
HAVELLS,1229.0,1229.0,1212.2,1244.1,1222.8,-21.3,-1.71,1005951
GODREJPROP,2023.2,2023.2,1965.0,2014.7,1978.0,-36.7,-1.82,329259
ANGELONE,286.9,288.25,280.5,286.9,281.55,-5.35,-1.86,2909391
IOC,136.34,137.9,135.15,139.13,136.53,-2.6,-1.87,9536764
IDEA,14.6,14.63,13.96,14.33,14.06,-0.27,-1.88,316789599
INDIANB,889.0,890.5,874.05,898.75,881.75,-17.0,-1.89,1602957
PGEL,575.0,578.5,566.0,581.0,569.9,-11.1,-1.91,728869
SBICARD,653.2,660.35,628.4,644.75,632.4,-12.35,-1.92,3438291
DMART,3850.0,3850.9,3766.1,3900.0,3824.0,-76.0,-1.95,382602
AUROPHARMA,1700.0,1700.1,1671.1,1717.0,1683.3,-33.7,-1.96,608791
BDL,1272.0,1273.8,1245.2,1275.0,1250.0,-25.0,-1.96,1100052
GRASIM,3337.0,3337.0,3287.1,3371.0,3305.0,-66.0,-1.96,818556
IREDA,115.68,115.85,114.15,116.5,114.2,-2.3,-1.97,3727060
BPCL,317.35,319.7,313.0,324.05,317.65,-6.4,-1.98,6048491
TORNTPHARM,4973.5,4987.5,4919.5,5066.0,4965.5,-100.5,-1.98,204694
UNIONBANK,185.0,186.32,183.26,188.63,184.9,-3.73,-1.98,7002385
COLPAL,1872.5,1873.0,1842.0,1897.6,1859.8,-37.8,-1.99,374486
CROMPTON,235.77,235.77,230.2,235.9,231.1,-4.8,-2.03,3046723
FEDERALBNK,350.0,351.75,348.0,356.7,349.25,-7.45,-2.09,3391394
SUZLON,47.5,47.5,46.25,47.52,46.5,-1.02,-2.15,39976953
COCHINSHIP,1509.9,1513.4,1465.5,1510.0,1475.9,-34.1,-2.26,404766
PREMIERENE,1023.1,1028.8,1011.1,1036.3,1012.9,-23.4,-2.26,506640
JIOFIN,240.0,240.01,235.01,241.35,235.85,-5.5,-2.28,10397855
KAYNES,3678.3,3691.8,3582.0,3685.0,3600.5,-84.5,-2.29,1133014
CHOLAFIN,1851.1,1851.5,1794.1,1857.4,1814.7,-42.7,-2.3,1873461
DLF,672.6,676.0,665.95,691.05,675.15,-15.9,-2.3,3403562
JUBLFOOD,487.0,492.5,481.3,496.0,484.4,-11.6,-2.34,686008
INDUSINDBK,1004.0,1004.0,985.0,1016.6,992.6,-24.0,-2.36,1742567
SBIN,1051.3,1051.3,1027.1,1060.0,1034.5,-25.5,-2.41,7605132
BAJAJFINSV,1998.7,2004.1,1960.1,2021.0,1972.0,-49.0,-2.42,788344
MFSL,1558.8,1561.1,1525.0,1573.1,1534.7,-38.4,-2.44,302535
POLICYBZR,1845.0,1847.8,1812.1,1875.0,1829.2,-45.8,-2.44,1724303
MUTHOOTFIN,3000.0,3009.2,2890.0,2978.1,2905.0,-73.1,-2.45,750967
SWIGGY,279.85,281.3,275.0,281.9,275.0,-6.9,-2.45,5372141
NATIONALUM,383.0,383.75,368.6,381.5,372.0,-9.5,-2.49,6155527
ADANIENSOL,1435.0,1444.4,1373.3,1417.4,1382.0,-35.4,-2.5,8161918
